Order,Family,Species,Genome Status,Scaffold N50,Scaffold N50 unit,Average Genome Size (Gb),Sequencing technologies,Year of latest version,"Citation/link, latest version",Year of first version,"Citation/link, first version(s)",Link to latest genome,Reference for genome size (c-value of haploid genome [pg] x 0.978 Gb/pg; or estimated by kmer coverage in Gb),,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma mexicanum,Chromosomal,1.2,Gb,33.99,"improvement of two previous scaffolds (the first generated with PacBio, Illumina, BioNano, the second improved with meiotic mapping and FISH) using HiC",2021,Schloissnig et al. 2021 (https://www.pnas.org/content/118/15/e2017176118),2018,"Nowoshilow et al 2018 (doi:10.1038/nature25458), Smith et al. 2019 (https://genome.cshlp.org/content/29/2/317.long) ",https://www.ncbi.nlm.nih.gov/assembly/GCA_002915635.3,www.genomesize.com,,,,,,,,,,,,,,,,,,,
Caudata,Salamandridae,Pleurodeles waltl,Contig,1136,bp,21.89,Illumina,--,--,2017,Elewa et al. 2017 (https://www.nature.com/articles/s41467-017-01964-9),genome assembly available upon request,Liedtke et al. 2018; www.genomesize.com,,,,,,,,,,,,,,,,,,,
Gymnophiona,Dermophiidae,Geotrypetes seraphini,Chromosomal,0.27,Gb,5.187,"10x, Dovetail HiC, Bionano, PacBio",2021,VGP (https://vgp.github.io/genomeark/Geotrypetes_seraphini/),2019,VGP (https://www.ncbi.nlm.nih.gov/assembly/GCF_902459505.1),https://www.ncbi.nlm.nih.gov/assembly/GCA_902459505.2,Liedtke et al. 2018; www.genomesize.com,,,,,,,,,,,,,,,,,,,
Gymnophiona,Ichthyophiidae,Ichthyophis bannanicus,Contig,740,bp,12.200,Illumina,--,--,2021,Wang et al. 2021 (https://www.sciencedirect.com/science/article/pii/S1672022921000528?via%3Dihub),assembly unavailable but reads are on NCBI,Wang et al. 2021,,,,,,,,,,,,,,,,,,,
Gymnophiona,Siphonopidae,Microcaecilia unicolor,Chromosomal,0.376,Gb,4.690,"10X, Arima HiC, BioNano, Dovetail Genomics, PacBio",2021,VGP (https://vgp.github.io/genomeark/Microcaecilia_unicolor/),2019,VGP (https://www.ncbi.nlm.nih.gov/assembly/GCF_901765095.1/),https://www.ncbi.nlm.nih.gov/assembly/GCA_901765095.2,Estimated from sequence data,,,,,,,,,,,,,,,,,,,
Gymnophiona,Rhinatrematidae,Rhinatrema bivittatum,Chromosomal,0.487,Gb,4.374,"10X, PacBio, Arima HiC, BioNano",2021,VGP (https://vgp.github.io/genomeark/Rhinatrema_bivittatum/),2019,VGP (https://www.ncbi.nlm.nih.gov/assembly/GCF_901001135.1/),https://www.ncbi.nlm.nih.gov/assembly/GCA_901001135.2,Liedtke et al. 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
