ID,Species,Organization,Type,Source,No_Media
mvz:amphibian and reptile specimens:129440,Onychodactylus japonicus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
mvz:amphibian and reptile specimens:163912,Chiropterotriton lavae,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,4
uf:uf:429581,Siren sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
uf:herp:2760,Amphiuma means,FLMNH Division of Herpetology,Biological Specimen,iDigBio,7
cas:herp:25413,Onychodactylus japonicus,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:339707,Nototriton barbouri,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
cas:herp:242371,Tylototriton verrucosus,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:190853,Oedipina uniformis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,4
mvz:amphibian and reptile specimens:198689,Hynobius nebulosus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
mvz:amphibian and reptile specimens:138783,Chiropterotriton orculus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,4
nms:g:2021.4.3,Marmorerpeton wakei,Natural Sciences Department,Biological Specimen,User Created,0
uf:herp:97274,Notophthalmus meridionalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:herp:188642,Siren reticulata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:217543,Bolitoglossa rostrata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:138786,Pleurodeles waltl,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
UCM:Amphibian and reptile specimens:UCM:Herp:22120,Ambystoma altamirani,UCM Herpetology Collection,Biological Specimen,iDigBio,1
nhmuk:zoo:1959.1.2.55-66,Batrachoseps attenuatus,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:588498,Pseudotriton ruber,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:241494,Paradactylodon persicus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:192755,Ambystoma opacum,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
umzc:vertebrates:r.16085,Taricha torosa,UMZC Zoological Specimens,Biological Specimen,iDigBio,0
uf:uf:429961,Amphiuma sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
uf:field#:DBM 8,Desmognathus auriculatus,FLMNH Division of Herpetology,Biological Specimen,User Created,0
UCM:Amphibian and reptile specimens:UCM:Herp:22133,Dendrotriton xolocalcae,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-24701,Pseudoeurycea praecellens,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:100935,Hydromantes genei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:158765,Pseudoeurycea leprosa,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
amnh:herpetology:A-168418,Pleurodeles waltl,AMNH Herpetology Collections,Biological Specimen,User Created,2
usnm:amphibians & reptiles:224640,Lineatriton lineolus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
uf:herp:5855,Batrachoseps pacificus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:108920,Pseudoeurycea rex,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
umzc:vertebrates:r.16015,Salamandra atra,UMZC Zoological Specimens,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:545578,Eurycea nana,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
ncsm:herp:82961,Tylototriton panhai,NCSM Herpetology Collection,Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:84856,Plethodon elongatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:279435,Aneides flavipunctatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ypm:vz:ypm hera 011897,Desmognathus fuscus,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,2
