ID,Species,Organization,Type,Source,No_Media
mnhn:ra:1953.238,Scaphiophryne sp.,The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris),Biological Specimen,iDigBio,0
uf:herp:10923,Cyclorana longipes,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
irsnb:17142,Oreophrynella quelchii,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
mcz:herp:a-33938,Lepidobatrachus llanensis,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:69062,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:uf:431019,Rhinophrynus sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
mcz:herp:a-139543,Myobatrachus gouldii,MCZ Herpetology,Biological Specimen,iDigBio,3
cas:herp:119580,Eleutherodactylus biporcatus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:100532,Eleutherodactylus eneidae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ummz:herps:104260,Ischnocnema guentheri,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,1
mcz:herp:a-16336,Bufo parkeri,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:196599,Truebella tothastes,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:269001,Chiasmocleis royi,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ua:9675,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
USNM:Amphibians & Reptiles:166258,Litoria micromembrana,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
fmnh:amphibians and reptiles:100001,Craugastor oaxacae,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
mzusp:159211,Adelastes hylonomos,Museum of Zoology,Biological Specimen,User Created,2
cas:herp:218901,Phrynobatrachus leveleve,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
irsnb:17143,Oreophrynella vasquezi,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ummz:herps:248381,Peltophryne lemur,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,User Created,1
uf:herp:111133,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:uf:431020,Rhinophrynus sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
ncsm:herp:80384,Theloderma stellatum,NCSM Herpetology Collection,Biological Specimen,iDigBio,3
cas:herp:152778,Xenopus borealis,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:165800,Pristimantis w-nigrum,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:518809,Rhinella castaneotica,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-86795,Hemisus microscaphus,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:258216,Cryptothylax greshoffii,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
bpbm:herp-bpbm:31884,Paedophryne swiftorum,Bernice P. Bishop Museum,Biological Specimen,User Created,8
ua:9600,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
MCZ:Herp:A-56302,Agalychnis callidryas,MCZ Herpetology,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:100192,Microbatrachylus minimus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
mzusp:159212,Adelastes hylonomos,Museum of Zoology,Biological Specimen,User Created,2
cm:herps:45985,Proceratophrys boiei,CM Herps Collection,Biological Specimen,iDigBio,2
irsnb:15761,Oreophrynella vasquezi,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
uf:herp:13375,Rhinophrynus dorsalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:herp:64262,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
uf:uf:431016,Rhinophrynus sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
mcz:herp:a-148131,Xenopus eysoole,MCZ Herpetology,Biological Specimen,iDigBio,4
cas:herp:152217,Telmatobius marmoratus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ku:kuh:220904,Hydrolaetare schmidti,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:518807,Rhinella castaneotica,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:92078,Mertensophryne lonnbergi,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
cas:herp:258273,Phlyctimantis leonardi,CAS Herpetology (HERP),Biological Specimen,iDigBio,5
bpbm:herp-bpbm:17975,Paedophryne kathismaphlox,Bernice P. Bishop Museum,Biological Specimen,User Created,0
ua:9945,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
MCZ:Herp:A-151366,Eleutherodactylus coqui,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:115507,Craugastor montanus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
amnh:herpetology:a-123696,Adelastes hylonomos,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
uf:herp:153631,Stumpffia pygmaea,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
irsnb:1979,Oreophrynella seegobini,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
amnh:herpetology:a-90935,Synapturanus mirandaribeiroi,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
uf:herp:66651,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:uf:431015,Rhinophrynus sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
mcz:herp:a-148130,Xenopus eysoole,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:131222,Xenopus laevis,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:21290,Eleutherodactylus coqui,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:70622,Rhinella arenarum,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:92083,Mertensophryne taitana,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
uf:herp:104602,Rhaebo blombergi,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
bpbm:herp-bpbm:37753,Paedophryne dekot,Bernice P. Bishop Museum,Biological Specimen,User Created,0
fmnh:pr:2506,Beelzebufo ampinga,Field Museum of Natural History (Geology) Fossil Herps Collection,Biological Specimen,User Created,2
USNM:Amphibians & Reptiles:582596,Pseudacris regilla,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:247507,Pipa aspera,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
amnh:herpetology:a-92115,Otophryne pyburni,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
amnh:herpetology:a-43479,Ecnomiohyla tuberculosa,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
irsnb:1980,Oreophrynella seegobini,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
amnh:herpetology:a-131554,Otophryne robusta,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
uf:herp:111135,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:uf:431013,Rhinophrynus sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
mcz:herp:a-138016,Xenopus eysoole,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:125439,Nectophrynoides tornieri,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:20904,Eleutherodactylus planirostris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:70620,Rhinella arenarum,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:92081,Mertensophryne taitana,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ku:kuh:196839,Truebella skoptes,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
amnh:herpetology:a-19891,Elachistocleis bicolor,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
ua:8677,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
MCZ:Herp:A-148815,Breviceps mossambicus,MCZ Herpetology,Biological Specimen,iDigBio,1
ucrc:PV95,Anura indet.,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
mcz:herp:a-8538,Atelopus certus,MCZ Herpetology,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:242743,Nyctixalus pictus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cpi:10901,Oreophrynella weiassipuensis,Coastal Plains Institute,Biological Specimen,User Created,1
uf:uf:5144,Gastrophryne carolinensis,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
ku:kuh:204216,Ptychohyla spinipollex,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
uf:herp:185654,Hyperolius cinnamomeoventris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ypm:vz:ypm hera 020175,Andinobates minutus,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,1
cas:herp:156914,Boophis tephraeomystax,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:1077,Rana heckscheri,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
cas:herp:194986,Xenophrys shapingensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mcz:herp:a-148576,Poyntonophrynus dombensis,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:109432,Pseudacris ornata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
cas:herp:121100,Lechriodus melanopyga,CAS Herpetology (HERP),Biological Specimen,User Created,2
ua:9636,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
USNM:Amphibians & Reptiles:235734,Ischnocnema nasuta,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ucrc:PV63,Oumtkoutia anae,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
mnhn:ra:2011.139,Chiasmocleis sp.,The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris),Biological Specimen,iDigBio,2
nhmuk:zoo:1874429549A,Philautus femoralis,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,1
irsnb:14395,Oreophrynella vasquezi,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:324594,Barbourula busuangensis,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
ku:kuh:100899,Charadrahyla nephila,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
uf:herp:185626,Hoplobatrachus occipitalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ypm:vz:ypm hera 020210,Silverstoneia flotator,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,2
cas:herp:156449,Hadromophryne natalensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:111629,Rana heckscheri,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
mcz:herp:a-27671,Hemisus marmoratus,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:92079,Mertensophryne lonnbergi,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:549315,Adelophryne gutturosa,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
uf:herp:40764,Hypodactylus araiodactylus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
fmnh:pr:2003,Beelzebufo ampinga,Field Museum of Natural History (Geology) Fossil Herps Collection,Biological Specimen,User Created,2
USNM:Amphibians & Reptiles:217402,Nectophrynoides viviparus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:116481,Craugastor omiltemanus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
amnh:herpetology:a-82903,Barygenys flavigularis,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
mcz:herp:a-136738,Chiromantis rufescens,MCZ Herpetology,Biological Specimen,iDigBio,1
irsnb:14393,Oreophrynella vasquezi,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:309388,Barbourula busuangensis,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:69063,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ummz:herps:118171,Megastomatohyla mixomaculata,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
mcz:herp:a-138131,Phrynobatrachus chukuchuku,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:156290,Hyperolius semidiscus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:233868,Lanzarana largeni,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:70614,Rhinella crucifer,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-136474,Pseudis paradoxa,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:256862,Ptychadena oxyrhynchus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
uf:herp:9620,Scaphiopus holbrookii,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
ua:9948,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
USNM:Amphibians & Reptiles:144192,Ingerophrynus galeatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
fmnh:amphibians and reptiles:100355,Craugastor albolabris,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
amnh:herpetology:A-101454,Elachistocleis surinamensis,AMNH Herpetology Collections,Biological Specimen,User Created,2
zsm:76/2018,Rhombophryne ellae,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,1
irsnb:17144,Oreophrynella vasquezi,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:280595,Eleutherodactylus jasperi,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:69065,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
uf:uf:431021,Rhinophrynus sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
mcz:herp:a-108670,Brachycephalus ephippium,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:155669,Xenopus muelleri,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ku:kuh:155612,Meristogenys jerboa,KUBI Herpetology Collection,Biological Specimen,iDigBio,5
usnm:amphibians & reptiles:70613,Rhinella crucifer,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-148993,Tlalocohyla loquax,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:196702,Kassinula wittei,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
bpbm:herp-bpbm:31885,Paedophryne swiftorum,Bernice P. Bishop Museum,Biological Specimen,User Created,7
ua:9947,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
USNM:Amphibians & Reptiles:149258,Dyscophus insularis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ucrc:PV100,Anura indet.,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
mcz:herp:a-91444,Atelopus coynei,MCZ Herpetology,Biological Specimen,iDigBio,1
nhmuk:zoo:18752278,Polypedates cruciger,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,1
irsnb:425.C,Atelopus ignescens,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
mvz:amphibian and reptile specimens:mvz:herp:265651,Bromeliohyla bromeliacia,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
ku:kuh:95416,Hyla valancifer,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
uf:herp:185688,Kassina senegalensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ypm:vz:ypm hera 009648,Pseudopaludicola falcipes,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,1
cas:herp:170535,Aphantophryne sabini,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
cas:herp:145994,Staurois natator,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
cas:herp:196766,Scutiger boulengeri,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
mcz:herp:a-129280,Philautus romeri,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:91987,Hyla circumdata,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
uf:herp:9034,Chiasmocleis crucis,FLMNH Division of Herpetology,Biological Specimen,User Created,2
uf:herp:100788,Spea multiplicata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
USNM:Amphibians & Reptiles:164927,Melanophryniscus rubriventris,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ucrc:PV99,Anura indet.,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
mcz:herp:a-65973,Atelopus carbonerensis,MCZ Herpetology,Biological Specimen,iDigBio,1
nhmuk:zoo:194722756,Polypedates eques,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,1
irsnb:17145,Atelopus hoogmoedi,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
mvz:amphibian and reptile specimens:mvz:herp:77507,Litoria bicolor,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
ku:kuh:195550,Hyla salvaje,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
uf:herp:185630,Hemisus guineensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ypm:vz:ypm hera 009630,Physalaemus gracilis,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,1
cas:herp:162678,Werneria preussi,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
uf:herp:69332,Lithobates virgatipes,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ku:kuh:321429,Megophrys stejnegeri,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
nhmuk:1947-2-21-10,Poyntonophrynus beiranus,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,1
uf:herp:166699,Ptychohyla hypomykter,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
cm:herps:147828,Odontophrynus americanus,CM Herps Collection,Biological Specimen,User Created,3
fmnh:pr:2512,Beelzebufo ampinga,Field Museum of Natural History (Geology) Fossil Herps Collection,Biological Specimen,User Created,21
USNM:Amphibians & Reptiles:97892,Odontophrynus cultripes,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ucrc:PV98,Anura indet.,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
mcz:herp:a-106665,Atelopus carauta,MCZ Herpetology,Biological Specimen,iDigBio,1
nhmuk:zoo:194722733,Philautus signatus,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,1
irsnb:15817,Amazophrynella manaos,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
uf:uf/fgs:11426,Hyla goini,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
ku:kuh:57565,Ecnomiohyla miotympanum,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:185661,Hyperolius cinnamomeoventris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ypm:vz:ypm hera 005775,Liuixalus romeri,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,1
cas:herp:160666,Xenopus laevis,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:112006,Lithobates sphenocephala,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ku:kuh:335851,Leptobrachium mangyanorum,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-148575,Poyntonophrynus dombensis,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:92722,Aplastodiscus perviridis,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
ku:kuh:313722,Platymantis polillensis,KUBI Herpetology Collection,Biological Specimen,User Created,3
ua:9957,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
MCZ:Herp:A-149532,Ceratophrys cranwelli,MCZ Herpetology,Biological Specimen,iDigBio,1
ucrc: PV97,Anura indet.,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
mcz:herp:a-84199,Atelopus arthuri,MCZ Herpetology,Biological Specimen,iDigBio,1
nhmuk:zoo:19472849,Philautus microtympanum,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,1
cpi:10902,Oreophrynella weiassipuensis,Coastal Plains Institute,Biological Specimen,User Created,1
uf:uf/fgs:6086,Eleutherodactylus sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
ku:kuh:53820,Charadrahyla taeniopus,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
uf:herp:185628,Hoplobatrachus occipitalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ypm:vz:ypm hera 010610,Dendrobates tinctorius,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,2
cas:herp:160540,Xenopus laevis,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
uf:herp:54061,Rana okaloosae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
cas:herp:224383,Brachytarsophrys feae,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mcz:herp:a-16469,Hemisus brachydactylus,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:108192,Pseudacris crucifer,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
uf:herp:15363,Stumpffia pygmaea,FLMNH Division of Herpetology,Biological Specimen,User Created,3
ua:9628,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
YPM:VZ:YPM HERA 001703,Sechellophryne gardineri,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,2
ucrc,Anura indet.,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
rom:reptiles and amphibians:42953,Otophryne steyermarki,Herpetology Collection - Royal Ontario Museum,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:252384,Rhacophorus reinwardtii,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
irsnb:12826,Nannophryne variegata,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
cumv:herps:a-0014913,Hyperolius tuberculatus,"Museum of Vertebrates, Amphibian and Reptile Collection",Biological Specimen,iDigBio,1
uta:uta-a:58575,Ecnomiohyla rabborum,UTA Herpetology,Biological Specimen,User Created,1
uf:herp:185603,Leptopelis bocagii,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ku:kuh:155619,Occidozyga baluensis,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:196527,Breviceps poweri,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
cas:herp:104290,Rana leithii,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
ummz:herps:198831,Madecassophryne truebae,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
mcz:herp:a-140248,Plectrohyla guatemalensis,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:256863,Scotobleps gabonicus,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
cas:herp:168486,Phrynobatrachus krefftii,CAS Herpetology (HERP),Biological Specimen,User Created,3
uf:herp:93190,Atelopus oxyrhynchus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
UF:Herp:112926,Ptychadena stenocephala,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ucrc:PV102,Anura indet.,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
rom:reptiles and amphibians:44356,Parapelophryne scalpta,Herpetology Collection - Royal Ontario Museum,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:253619,Theloderma stellatum,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
zuec:16631,Frostius erythrophthalmus,Museu de Zoologia da Universidade Estadual de Campinas,Biological Specimen,User Created,1
cumv:herps:a-0014961,Hyperolius ocellatus,"Museum of Vertebrates, Amphibian and Reptile Collection",Biological Specimen,iDigBio,1
ku:kuh:57864,Exerodonta sumichrasti,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
uf:herp:185685,Hyperolius quinquevittatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ku:kuh:153993,Polypedates leucomystax,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:194560,Oreolalax pingii,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
cas:sua:7259,Rana beddomii,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
ummz:herps:219339,Cophyla phyllodactyla,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
mcz:herp:a-22384,Limnodynastes spenceri,MCZ Herpetology,Biological Specimen,iDigBio,1
zmb:7873,Arthroleptis kutogundua,"Museum für Naturkunde, Berlin",Biological Specimen,User Created,1
uf:herp:109124,Litoria aurea,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
uf:herp:80664,Ascaphus truei,FLMNH Division of Herpetology,Biological Specimen,iDigBio,5
USNM:Amphibians & Reptiles:193316,Euphlyctis hexadactylus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ucrc:PV101,Taxonomy indet.,University of Chicago Research Collection (UCRC),Biological Specimen,User Created,0
rom:reptiles and amphibians:43096,Microhyla pulchra,Herpetology Collection - Royal Ontario Museum,Biological Specimen,iDigBio,1
mcz:herp:a-135392,Polypedates leucomystax,MCZ Herpetology,Biological Specimen,iDigBio,1
irsnb:57.C,Dendrophryniscus brevipollicatus,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
cumv:herps:a-0014960,Hyperolius ocellatus,"Museum of Vertebrates, Amphibian and Reptile Collection",Biological Specimen,iDigBio,1
ku:kuh:68078,Plectrohyla bistincta,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
uf:herp:185632,Afrixalus wittei,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
mcz:herp:a-3238,Mertensophryne lonnbergi,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:184286,Hyperolius pusillus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ku:kuh:309505,Staurois natator,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
ummz:herps:167655,Minyobates minutus,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
mcz:herp:a-16275,Colostethus fuliginosus,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:145356,Paracassina kounhiensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
uf:herp:36935,Pelobates fuscus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,6
uf:herp:70546,Barbourula busuangensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
UCM:Amphibian and reptile specimens:UCM:Herp:8241,Dryophytes arenicolor,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:80999,Brachycephalus margaritatus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,1
